ISO3V10,Country_Territory_Island,CMR_10,CMR_11,CMR_12,CMR_13,CMR_14,CMR_15,CMR_16,CMR_17,CMR_18,CMR_19,CMR_20,CMR_21,CMR_22,CHMORT_PT_10,CHMORT_PT_11,CHMORT_PT_12,CHMORT_PT_13,CHMORT_PT_14,CHMORT_PT_15,CHMORT_PT_16,CHMORT_PT_17,CHMORT_PT_18,CHMORT_PT_19,CHMORT_PT_20,CHMORT_PT_21,CHMORT_PT_22,WAT_10,WAT_11,WAT_12,WAT_13,WAT_14,WAT_15,WAT_16,WAT_17,WAT_18,WAT_19,WAT_20,WAT_21,WAT_22,SAN_10,SAN_11,SAN_12,SAN_13,SAN_14,SAN_15,SAN_16,SAN_17,SAN_18,SAN_19,SAN_20,SAN_21,SAN_22,CHI_v2023_10,CHI_v2023_11,CHI_v2023_12,CHI_v2023_13,CHI_v2023_14,CHI_v2023_15,CHI_v2023_16,CHI_v2023_17,CHI_v2023_18,CHI_v2023_19,CHI_v2023_20,CHI_v2023_21,CHI_v2023_22
AFG,Afghanistan,25.20,23.66,22.18,20.77,19.41,18.14,17.01,15.99,15.10,14.30,13.56,12.82,12.82,65.10,67.22,69.28,71.23,73.11,74.88,76.44,77.85,79.09,80.19,81.22,82.24,82.24,48.83,51.47,54.15,56.86,59.60,62.37,65.17,68.01,70.88,73.78,76.72,79.69,82.18,35.48,37.16,38.86,40.56,42.28,44.00,45.73,47.48,49.23,51.00,52.65,54.30,55.95,49.80,51.95,54.10,56.22,58.33,60.42,62.45,64.44,66.40,68.33,70.20,72.08,73.46
ALB,Albania,1.44,1.33,1.24,1.16,1.10,1.07,1.05,1.04,1.04,1.05,1.05,1.05,1.05,98.01,98.16,98.29,98.39,98.47,98.52,98.55,98.56,98.56,98.55,98.54,98.54,98.54,91.38,91.81,92.23,92.63,93.02,93.39,93.75,94.10,94.44,94.76,95.07,95.08,95.09,95.17,95.70,96.21,96.71,97.19,97.65,98.11,98.55,98.97,99.18,99.30,99.30,99.30,94.85,95.22,95.58,95.91,96.23,96.52,96.80,97.07,97.32,97.50,97.64,97.64,97.65
DZA,Algeria,4.02,3.91,3.83,3.77,3.71,3.66,3.61,3.54,3.47,3.40,3.32,3.24,3.24,94.43,94.58,94.69,94.78,94.86,94.93,95.00,95.09,95.19,95.30,95.41,95.52,95.52,92.30,92.51,92.75,92.97,93.19,93.41,93.62,93.83,94.04,94.24,94.44,94.63,94.66,86.98,87.19,87.09,86.99,86.87,86.74,86.61,86.46,86.30,86.14,85.97,85.78,85.83,91.24,91.43,91.51,91.58,91.64,91.69,91.74,91.79,91.84,91.89,91.94,91.98,92.00
ASM,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,97.47,97.72,97.98,98.23,98.48,98.74,98.99,99.24,99.24,99.24,99.24,99.24,99.24,62.23,61.08,59.93,58.78,57.63,56.48,55.33,54.18,54.17,54.17,54.16,54.15,54.15,,,,,,,,,,,,,
AND,Andorra,0.34,0.30,0.27,0.24,0.21,0.18,0.16,0.15,0.14,0.13,0.12,0.11,0.11,99.53,99.58,99.63,99.67,99.71,99.75,99.77,99.79,99.81,99.82,99.83,99.84,99.84,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.84,99.86,99.88,99.89,99.90,99.92,99.92,99.93,99.94,99.94,99.94,99.95,99.95
AGO,Angola,47.89,43.98,40.35,37.12,34.51,32.32,30.45,28.84,27.35,25.96,24.59,23.36,23.36,33.66,39.08,44.12,48.58,52.21,55.24,57.82,60.06,62.11,64.04,65.94,67.64,67.64,50.38,51.17,51.97,52.76,53.54,54.32,55.08,55.84,56.59,56.88,57.17,57.45,57.72,41.06,42.33,43.59,44.85,46.12,47.37,48.63,49.88,51.12,51.39,51.66,51.92,52.18,41.70,44.19,46.56,48.73,50.62,52.31,53.85,55.26,56.61,57.44,58.26,59.00,59.18
AIA,Anguilla,0.31,0.28,0.25,0.23,0.21,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.13,99.57,99.61,99.65,99.68,99.71,99.73,99.75,99.77,99.78,99.80,99.80,99.82,99.82,97.18,97.28,97.38,97.48,97.48,97.48,97.48,97.48,97.48,97.48,97.48,97.48,97.48,95.33,95.78,96.24,96.70,96.70,96.70,96.70,96.70,96.70,96.70,96.70,96.70,96.70,97.36,97.56,97.76,97.96,97.96,97.97,97.98,97.98,97.99,97.99,98.00,98.00,98.00
ATG,Antigua and Barbuda,1.74,1.64,1.53,1.44,1.35,1.28,1.22,1.16,1.11,1.07,1.03,0.99,0.99,97.58,97.73,97.88,98.01,98.12,98.23,98.31,98.39,98.46,98.52,98.58,98.63,98.63,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.36,98.36,98.36,97.35,97.37,97.37,97.38,97.38,97.39,97.39,97.39,97.40,97.40,97.40,97.40,97.40,97.77,97.82,97.87,97.92,97.96,97.99,98.02,98.05,98.08,98.10,98.11,98.13,98.13
ARG,Argentina,1.56,1.51,1.45,1.39,1.33,1.27,1.21,1.14,1.05,0.96,0.86,0.77,0.77,97.84,97.91,98.00,98.08,98.16,98.23,98.32,98.42,98.54,98.67,98.80,98.93,98.93,98.43,98.62,98.81,98.86,98.92,98.98,99.04,99.04,99.04,99.04,99.04,99.04,99.04,92.31,92.77,93.23,93.62,94.02,94.42,94.82,94.82,94.82,94.82,94.82,94.82,94.82,96.19,96.44,96.68,96.86,97.03,97.21,97.39,97.43,97.47,97.51,97.56,97.60,97.60
ARM,Armenia,2.01,1.90,1.81,1.72,1.63,1.56,1.48,1.42,1.36,1.30,1.24,1.19,1.19,97.22,97.36,97.50,97.62,97.74,97.85,97.95,98.04,98.12,98.20,98.28,98.35,98.35,98.14,98.43,98.73,99.03,99.32,99.52,99.53,99.53,99.91,99.93,99.94,99.95,99.97,90.89,91.29,91.69,92.09,92.50,92.91,93.25,93.47,93.69,93.86,93.94,93.96,93.98,95.41,95.69,95.97,96.25,96.52,96.76,96.91,97.01,97.24,97.33,97.39,97.42,97.43
