Country,Policy_Bucket,Need_Score_0to1,Urban_Pop_used,WAT_latest,SAN_latest,CMR_latest,Feasible_WAT_gain,Feasible_SAN_gain,People_new_WAT_12m,People_new_SAN_12m,Standpipes_needed,New_connections_needed,Basic_toilets_needed,Handwash_stations_needed,Desludging_trips_year,Cost_total_12m_USD,Primary_Owner,Co_Leads,Objective,Key_Actions,Timeline_90d,Timeline_6_12m,Timeline_12_24m,KPIs
Niger,Type B: Basic Services First,0.884,4507868,48.9,16.41,59.17,0.1,0.08,450787,360629,902,45079,18032,91,1804,24947700,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Central African Republic,Type B: Basic Services First,0.862,2273761,36.3,13.85,26.49,0.1,0.08,227376,181901,455,22738,9096,46,910,12584000,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Democratic Republic of the Congo,Type B: Basic Services First,0.829,50837256,35.12,16.17,17.69,0.1,0.08,5083726,4066980,10168,508373,203349,1017,20335,281334450,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Chad,Type B: Basic Services First,0.828,4770073,52.0,12.92,43.92,0.1,0.08,477007,381606,955,47701,19081,96,1909,26399650,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Burkina Faso,Type B: Basic Services First,0.753,7636729,49.51,24.76,32.52,0.1,0.08,763673,610938,1528,76368,30547,153,3055,42263050,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Ethiopia,Type B: Basic Services First,0.743,30449742,51.51,9.34,12.98,0.1,0.08,3044974,2435979,6090,304498,121799,609,12180,168509200,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Madagascar,Type B: Basic Services First,0.736,12862397,53.47,14.75,21.73,0.1,0.08,1286240,1028992,2573,128624,51450,258,5145,71181650,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Eritrea,Type B: Basic Services First,0.717,1523883,51.85,11.94,9.41,0.1,0.08,152388,121911,305,15239,6096,31,610,8433900,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Papua New Guinea,Type B: Basic Services First,0.692,1442082,50.24,19.3,8.67,0.1,0.08,144208,115367,289,14421,5769,29,577,7981750,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
Somalia,Type B: Basic Services First,0.667,8907420,58.26,40.58,43.77,0.1,0.08,890742,712594,1782,89075,35630,179,3563,49295050,Water Utility / Public Works,"Health (hygiene/ORS), Education (school WASH)",Rapid basic coverage expansion in highest-need districts,Install/rehab communal standpipes; short network extensions | Deploy basic/shared toilets; set fecal sludge routes | Handwashing stations at markets/schools; chlorine kits | NRW reduction (leak repair) to stretch supply,Fix broken taps; emergency chlorination; map pits & contract desludging; deploy 20 handwash stations.,"Build standpipes & short extensions; 500–2,000 basic toilets; NRW −5–10 pts.",Small FSTP/co-treat; extend network to high-need zones.,WAT +8–12ppts; SAN +8–12ppts; >95% functioning taps; >80% desludging compliance
