Country_Territory_Island,WAT_latest,SAN_latest,CMR_latest,Need_Score_0to1,Policy_Bucket,ISO3V10,Pop_total,Urban_pct,Pop_urban_est
Niger,48.9,16.41,59.17,0.884,Type B: Basic Services First,NER,26159863.0,17.232,4507868
Central African Republic,36.3,13.85,26.49,0.862,Type B: Basic Services First,CAF,5152415.0,44.13,2273761
Democratic Republic of the Congo,35.12,16.17,17.69,0.829,Type B: Basic Services First,COD,105789733.0,48.055,50837256
Chad,52.0,12.92,43.92,0.828,Type B: Basic Services First,TCD,19319075.0,24.691,4770073
Burkina Faso,49.51,24.76,32.52,0.753,Type B: Basic Services First,BFA,23025777.0,33.166,7636729
Ethiopia,51.51,9.34,12.98,0.743,Type B: Basic Services First,ETH,128691695.0,23.661,30449742
Madagascar,53.47,14.75,21.73,0.736,Type B: Basic Services First,MDG,31195937.0,41.231,12862397
Eritrea,51.85,11.94,9.41,0.717,Type B: Basic Services First,ERI,3470391.0,43.911,1523883
Papua New Guinea,50.24,19.3,8.67,0.692,Type B: Basic Services First,PNG,10389638.0,13.88,1442082
Somalia,58.26,40.58,43.77,0.667,Type B: Basic Services First,SOM,18358622.0,48.519,8907420
Benin,67.36,19.49,30.01,0.658,Type B: Basic Services First,BEN,14111035.0,50.669,7149920
Sierra Leone,65.34,22.92,28.68,0.651,Type B: Basic Services First,SLE,8460523.0,44.779,3788538
Guinea-Bissau,61.78,27.84,25.62,0.64,Type B: Basic Services First,GNB,2153343.0,45.893,988234
Uganda,59.26,21.01,11.31,0.638,Type B: Basic Services First,UGA,48656606.0,27.389,13326558
Guinea,71.45,31.27,37.33,0.605,Type B: Basic Services First,GIN,14405469.0,38.517,5548554
Togo,70.99,19.2,20.12,0.603,Type B: Basic Services First,TGO,9304346.0,45.064,4192910
Tanzania,60.79,30.62,13.46,0.593,Type B: Basic Services First,TZA,66617607.0,38.136,25405291
Zimbabwe,62.29,34.62,14.32,0.569,Type B: Basic Services First,ZWE,16340829.0,32.67,5338549
Mozambique,63.2,37.38,19.56,0.569,Type B: Basic Services First,MOZ,33635163.0,39.326,13227364
Liberia,75.61,22.52,20.48,0.561,Type B: Basic Services First,LBR,5493035.0,54.077,2970469
Sudan,64.92,36.89,16.59,0.551,Type B: Basic Services First,SDN,50042800.0,36.752,18391730
Angola,57.72,52.18,23.36,0.55,Type B: Basic Services First,AGO,36749909.0,69.281,25460704
Congo,73.97,20.55,11.35,0.549,Type C: Service Quality & Risk Control,COG,6182890.0,69.638,4305641
Kenya,62.86,36.53,9.43,0.541,Type B: Basic Services First,KEN,55339007.0,30.049,16628818
Zambia,68.25,36.3,18.23,0.538,Type B: Basic Services First,ZMB,20723967.0,46.914,9722442
Burundi,62.44,45.69,15.56,0.524,Type B: Basic Services First,BDI,13689455.0,15.16,2075321
Haiti,67.42,37.48,13.85,0.523,Type B: Basic Services First,HTI,11637402.0,60.472,7037370
Cameroon,69.59,43.12,23.96,0.519,Type B: Basic Services First,CMR,28372690.0,59.892,16992971
Cote d'Ivoire,72.85,36.96,20.05,0.513,Type B: Basic Services First,CIV,31165653.0,53.644,16718503
Nigeria,79.64,46.57,43.29,0.507,Type B: Basic Services First,NGA,227882949.0,55.03,125403987
Solomon Islands,67.45,35.02,2.74,0.496,Type B: Basic Services First,SLB,800014.0,26.488,211908
Yemen,61.76,54.84,16.11,0.489,Type B: Basic Services First,YEM,39390800.0,40.477,15944214
Mali,83.65,50.21,37.76,0.448,Type B: Basic Services First,MLI,23769130.0,46.934,11155803
Comoros,80.21,35.91,10.85,0.441,Type C: Service Quality & Risk Control,COM,850390.0,30.418,258672
Lesotho,73.97,50.28,16.93,0.437,Type B: Basic Services First,LSO,2311476.0,30.897,714177
Equatorial Guinea,64.67,66.31,20.77,0.436,Type B: Basic Services First,GNQ,1847556.0,74.874,1383339
